Load-Powerline [MW],cllp,fine,omf,ppsa
Battery,-59184,-59142,-59142,-242275
Battery,69736,69681,69681,290281
Biogas CHP,-66772,-66470,-66470,-73816
Combined Cycle PP,-11270,-11512,-11512,-18191
El Demand,9809506,9809506,9809506,9809506
Hard Coal CHP,0,0,0,0
Hard Coal PP,0,0,0,0
Lignite Power Plant,0,0,0,0
Offshore Wind Turbine,-480373,-479668,-479668,-733059
Onshore Wind Turbine,-10089236,-10090424,-10090424,-9880008
Power To Heat,1069849,1070091,1070091,1075836
Solar Panel,-242253,-242060,-242060,-228272
