,,cllp,fine,omf,ppsa
Battery,Powerline,59185,59143,59143,242275
Biogas CHP,Heatline,83466,83088,83088,92271
Biogas CHP,Powerline,66772,66471,66471,73817
Biogas Line,Biogas CHP,166931,166177,166177,184542
Biogas Supply,Biogas Line,166931,166177,166177,184542
Combined Cycle PP,Powerline,11270,11513,11513,18191
Gas Line,Combined Cycle PP,18783,19188,19188,0
Gas Station,Gas Line,18783,19188,19188,0
Heat Storage,Heatline,110220,109928,109928,150745
Heatline,Heat Demand,1116163,1116163,1116163,1116163
Heatline,Heat Storage,136673,136245,136245,191931
Offshore Wind Turbine,Powerline,480373,479668,479668,733059
Onshore Wind Turbine,Powerline,10089237,10090425,10090425,9880008
Power To Heat,Heatline,1059151,1059391,1059391,1065078
Powerline,Battery,69736,69681,69681,290282
Powerline,El Demand,9809506,9809506,9809506,9809506
Powerline,Power To Heat,1069849,1070092,1070092,1075836
Solar Panel,Powerline,242254,242061,242061,228273
