,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat
2030-10-13 00:00:00,0.0,-16064.385,0.0,-61321.041,199.55034,0,41420.707,0,20000.0,15765.169
2030-10-13 01:00:00,0.0,-15885.158,0.0,-57645.374,33.761407,0,39808.658,0,20000.0,13688.112
2030-10-13 02:00:00,0.0,-18600.0,0.0,-55988.777,23.179135,0,40077.333,0,18747.566,15740.699
2030-10-13 03:00:00,0.0,-18600.0,0.0,-52771.444,23.179135,0,40077.333,0,11911.51,19359.422
2030-10-13 04:00:00,0.0,-18600.0,0.0,-52130.374,79.617922,0,36853.235,0,12172.04,21625.482
2030-10-13 05:00:00,0.0,-18600.0,0.0,-47729.758,93.727619,0,36002.431,0,15205.815,15027.785
2030-10-13 06:00:00,0.0,-18600.0,0.0,-43383.064,912.09003,0,37927.934,0,20000.0,3143.0399
2030-10-13 07:00:00,0.0,-18600.0,0.0,-43520.864,1698.7056,0,43883.56,0,16538.598,0.0
2030-10-13 08:00:00,0.0,-18600.0,0.0,-43664.656,2192.545,0,47645.008,0,12427.102,0.0
2030-10-13 09:00:00,-6992.3761,-18600.0,0.0,-36630.859,3473.0,0,58750.236,0,0.0,0.0
2030-10-13 10:00:00,-17251.233,-18600.0,0.0,-26343.783,3444.7806,0,58750.236,0,0.0,0.0
2030-10-13 11:00:00,-6752.0694,-18600.0,-13448.022,-25663.769,3250.7723,0,61213.088,0,0.0,0.0
2030-10-13 12:00:00,0.0,-18400.663,-18600.0,-29453.272,3360.1224,0,63093.812,0,0.0,0.0
2030-10-13 13:00:00,0.0,-15807.984,-18600.0,-35624.32,3134.3673,0,61750.438,0,0.0,5147.4985
2030-10-13 14:00:00,0.0,-15614.484,-18600.0,-42280.663,2707.5489,0,60138.389,0,0.0,13649.21
2030-10-13 15:00:00,0.0,-16441.798,-18600.0,-44012.151,2234.8741,0,59601.039,0,0.0,17218.036
2030-10-13 16:00:00,0.0,-18600.0,-3632.974,-45315.261,2005.5915,0,59869.714,0,0.0,5672.9293
2030-10-13 17:00:00,-2096.3111,-18600.0,0.0,-40621.071,1716.3428,0,59601.039,0,0.0,0.0
2030-10-13 18:00:00,-5368.3426,-18600.0,0.0,-39003.418,1758.6718,0,61213.088,0,0.0,0.0
2030-10-13 19:00:00,0.0,-18600.0,0.0,-45599.848,1790.4187,0,60944.414,0,1465.0159,0.0
2030-10-13 20:00:00,0.0,-18600.0,0.0,-50297.034,1233.0856,0,55257.462,0,12406.486,0.0
2030-10-13 21:00:00,0.0,-18600.0,0.0,-54613.772,859.17867,0,53600.634,0,18753.959,0.0
2030-10-13 22:00:00,0.0,-15627.265,0.0,-59652.462,509.96367,0,47376.333,0,20000.0,7393.4297
2030-10-13 23:00:00,0.0,-17447.163,0.0,-66599.384,291.26337,0,44152.235,0,20000.0,19603.048
