,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa
,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand
Timeseries-District Heating [MW],,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,0,-14695,-6651,0,21347,0,-14695,-6651,0,21347,0,-14695,-6651,0,21347,0,-14695,-6651,0,21347
2030-10-13 01:00:00,0,-12305,-11806,0,24112,0,-12305,-11806,0,24112,0,-12305,-11806,0,24112,0,-12305,-11806,0,24112
2030-10-13 02:00:00,0,-16633,-14622,0,31255,0,-16633,-14622,0,31255,0,-16633,-14622,0,31255,0,-16633,-14622,0,31255
2030-10-13 03:00:00,0,-28515,-16466,0,44982,0,-28515,-16466,0,44982,0,-28515,-16466,0,44982,0,-28515,-16466,0,44982
2030-10-13 04:00:00,0,-31005,-18994,0,50000,0,-31005,-18994,0,50000,0,-31005,-18994,0,50000,0,-31005,-18994,0,50000
2030-10-13 05:00:00,0,-34751,-12637,0,47389,0,-34751,-12637,0,47389,0,-34751,-12637,0,47389,0,-34751,-12637,0,47389
2030-10-13 06:00:00,0,-42002,-2278,0,44281,0,-42002,-2278,0,44281,0,-42002,-2278,0,44281,0,-42002,-2278,0,44281
2030-10-13 07:00:00,0,-41661,0,0,41661,0,-41661,0,0,41661,0,-41661,0,0,41661,0,-41661,0,0,41661
2030-10-13 08:00:00,0,-38391,0,-545,38936,0,-38391,0,-545,38936,0,-38391,0,-545,38936,0,-38391,0,-545,38936
2030-10-13 09:00:00,-6359,-27763,0,-3390,37513,-6359,-27763,0,-3390,37513,-6359,-27763,0,-3390,37513,-6359,-27763,0,-3390,37513
2030-10-13 10:00:00,0,-29481,0,-6921,36402,0,-29481,0,-6921,36402,0,-29481,0,-6921,36402,0,-29481,0,-6921,36402
2030-10-13 11:00:00,0,-24943,0,-10647,35590,0,-24943,0,-10647,35590,0,-24943,0,-10647,35590,0,-24943,0,-10647,35590
2030-10-13 12:00:00,0,-23176,0,-13147,36323,0,-23176,0,-13147,36323,0,-23176,0,-13147,36323,0,-23176,0,-13147,36323
2030-10-13 13:00:00,0,-9907,-12647,-14343,36897,0,-9907,-12647,-14343,36897,0,-9907,-12647,-14343,36897,0,-9907,-12647,-14343,36897
2030-10-13 14:00:00,0,-3574,-22273,-13322,39171,0,-3574,-22273,-13322,39171,0,-3574,-22273,-13322,39171,0,-3574,-22273,-13322,39171
2030-10-13 15:00:00,0,-13025,-17396,-11114,41536,0,-13025,-17396,-11114,41536,0,-13025,-17396,-11114,41536,0,-13025,-17396,-11114,41536
2030-10-13 16:00:00,0,-31187,-3593,-7818,42599,0,-31187,-3593,-7818,42599,0,-31187,-3593,-7818,42599,0,-31187,-3593,-7818,42599
2030-10-13 17:00:00,0,-39414,0,-3773,43187,0,-39414,0,-3773,43187,0,-39414,0,-3773,43187,0,-39414,0,-3773,43187
2030-10-13 18:00:00,-13513,-28725,0,-416,42656,-13513,-28725,0,-416,42656,-13513,-28725,0,-416,42656,-13513,-28725,0,-416,42656
2030-10-13 19:00:00,-10950,-27463,0,0,38413,-10950,-27463,0,0,38413,-10950,-27463,0,0,38413,-10950,-27463,0,0,38413
2030-10-13 20:00:00,0,-30110,0,0,30110,0,-30110,0,0,30110,0,-30110,0,0,30110,0,-30110,0,0,30110
2030-10-13 21:00:00,0,-22799,0,0,22799,0,-22799,0,0,22799,0,-22799,0,0,22799,0,-22799,0,0,22799
2030-10-13 22:00:00,0,-18507,0,0,18507,0,-18507,0,0,18507,0,-18507,0,0,18507,0,-18507,0,0,18507
2030-10-13 23:00:00,0,-17473,-2310,0,19784,0,-17473,-2310,0,19784,0,-17473,-2310,0,19784,0,-17473,-2310,0,19784
